STRIKE,DATA
21750,0.659424
21800,0.653137
21850,0.643127
21900,0.636536
21950,0.626526
22000,0.616394
22050,0.609558
22100,0.6026
22150,0.589417
22200,0.585144
22250,0.575012
22300,0.570129
22350,0.557373
22400,0.549744
22450,0.537048
22500,0.529358
22550,0.519104
22600,0.508972
22650,0.498718
22700,0.490784
22750,0.48053
22800,0.470398
22850,0.462219
22900,0.451965
22950,0.443604
23000,0.433289
23050,0.424866
23100,0.416199
23150,0.407532
23200,0.397156
23250,0.388245
23300,0.379211
23350,0.371521
23400,0.361023
23450,0.351746
23500,0.341125
23550,0.334045
23600,0.323303
23650,0.31366
23700,0.304871
23750,0.295959
23800,0.286804
23850,0.277527
23900,0.268738
23950,0.259705
24000,0.25116
24050,0.242126
24100,0.233459
24150,0.224792
24200,0.217102
24250,0.207458
24300,0.19928
24350,0.191345
24400,0.183777
24450,0.176453
24500,0.171692
24550,0.16571
24600,0.161316
24650,0.156921
24700,0.153137
24750,0.149841
24800,0.146912
24850,0.144592
24900,0.143372
24950,0.143616
25000,0.144714
25050,0.146667
25100,0.149963
25150,0.154236
25200,0.160461
25250,0.169861
25300,0.180725
25350,0.193176
25400,0.205505
25450,0.215881
25500,0.23468
25550,0.240906
25600,0.262024
25650,0.266907
25700,0.290466
25750,0.237488
25800,0.317078
25850,-1
25900,-1
25950,0.224548
26000,0.369812
26050,-1
26100,-1
26150,-1
26200,-1
26250,-1
26300,-1
26350,-1
26400,-1
26450,-1
26500,-1
26550,-1
26600,-1
